id name sex math stat psychologytest stattest1 stattest2 teachingmethod
1 Omura 0 0 1 13 6 10 C
2 Honda 0 0 1 14 10 13 B
3 Kawasaki 0 1 1 7 6 8 B
4 Tamura 0 1 1 12 10 15 A
5 Matsunaka 0 0 0 10 5 8 B
6 Kokubo 0 0 0 6 3 6 C
7 Shibahara 0 0 0 8 5 9 A
8 Ide 0 0 0 15 9 10 D
9 Tanoue 0 0 0 4 3 7 D
10 Matsuda 0 1 0 14 3 3 D
11 Takatani 1 1 1 9 11 18 A
12 Sugiuchi 1 0 1 6 6 14 A
13 Wada 1 1 1 10 11 18 A
14 Aragaki 1 0 0 12 9 11 C
15 Odonari 1 0 1 5 7 12 B
16 Mizuta 1 1 0 12 5 5 D
17 Saito 1 0 0 8 8 7 C
18 Yanase 1 0 0 8 7 12 C
19 Sato 1 0 0 12 7 7 B
20 Mahara 1 0 0 15 9 7 D
